Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
,Large,Serves 3-4,$11.50 ,$9.90,3.795,,$11.39,$10.63,$9.49,,$12.70 ,$13.30 ,10.8,12.65,$13.23 ,$11.39 ,$16.51 ,,,,7,905.1724138,900,,,,
,Extra Large,Serves 4-5,$15.30 ,$12.20,5.06,,$15.18,$14.17,$12.65,,$16.90 ,$17.60 ,13.4,16.83,$17.60 ,$14.03 ,$21.97 ,,,,8,1034.482759,1000,,,,
,Custom Amount,Order any amount between $4-$15,,,,,,$0.00,,,$0.00 ,$0.00 ,,0,$0.00 ,$0.00 ,$0.00 ,,,,9,1163.793103,1150,,,,
,Sweet Potato Chips,,$6.00,6,1.805,,$5.96,$5.05,$4.51,,$6.60 ,$6.90 ,6.6,6.6,$6.90 ,$6.90 ,$8.58 ,,,,10,1293.103448,1300,,,,
,Small Chips and Gravy,,$5.40 ,$5.00,0.759,3,$5.28,$5.13,$1.90,,$6.00 ,$6.30 ,6,5.94,$6.21 ,$5.75 ,$7.80 ,,,,11,1422.413793,1400,,,,
,Small Chips and Gravy With Cheese,,$6.20 ,$5.50,0.759,3.8,$6.08,$5.93,$1.90,,$6.90 ,$7.20 ,5.5,6.82,$7.13 ,$6.33 ,$8.97 ,,,,12,1551.724138,1550,,,,
,Large Chips and Gravy,,$7.90 ,$7.00,1.265,4,$7.80,$7.54,$3.16,,$8.70 ,$9.10 ,9,8.69,$9.09 ,$8.05 ,$11.31 ,,,,13,1681.034483,1700,,,,
,Large Chips and Gravy With Cheese,,$8.70 ,$7.50,1.265,4.8,$8.60,$8.34,$3.16,,$9.60 ,$10.10 ,,9.57,$10.01 ,$8.63 ,$12.48 ,,,,14,1810.344828,1800,,,,
,Small Tub of Gravy,,$3.00,3,,,,$0.00,,,$3.30 ,$3.50 ,3.5,3.3,$3.45 ,$3.45 ,$4.29 ,,,,15,1939.655172,1900,,,,
,Medium Tub of Gravy,,$4.50,4.5,,,,$0.00,,,$5.00 ,$5.20 ,5.5,4.95,$5.18 ,$5.18 ,$6.50 ,,,,,,,,,,
,Large Tub of Gravy,,$6.50,6.5,,,,$0.00,,,$7.20 ,$7.50 ,7.5,7.15,$7.48 ,$7.48 ,$9.36 ,,,,,,,,,,
,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,,,,,,,,
Sides,Dim Sim,Steamed Or Fried,$1.80 ,$1.80,$0.29,,$0.97,$0.81,$0.73,,$2.00 ,$2.10 ,2,1.98,$2.07 ,$2.07 ,$2.60 ,,,,,,,,,,
,Dim Sim In Batter,,$2.00,$2.50,$0.29,,$0.97,$0.81,$0.73,,$2.20 ,$2.30 ,2.8,2.2,$2.30 ,$2.88 ,$2.86 ,,,,,,,,,,
,South Melbourne Dim Sim,,$3.00 ,$3.00,$1.03,,$3.43,$2.88,$2.58,,$3.30 ,$3.50 ,3.3,3.3,$3.45 ,$3.60 ,$4.29 ,,,,,,,,,,
,Vegie Dim Sim,,$2.20 ,$2.00,$0.75,,$2.50,$2.10,$1.88,,$2.50 ,$2.60 ,2.2,2.42,$2.53 ,$2.30 ,$3.25 ,,,,,,,,,,
,Jumbo Potato Cake,,$2.00 ,,$0.55,,$1.83,$1.54,$1.38,,$2.20 ,$2.30 ,2.2,2.2,$2.30 ,$0.00 ,$2.86 ,,,,,,,,,,
,Potato Cake,,$1.80,$1.80,$0.54,,$1.80,$1.51,$1.35,,$2.00 ,$2.10 ,2,1.98,$2.07 ,$2.07 ,$2.60 ,,,,,,,,,,
,Cheese & Bacon Potato Cake,,$6.00 ,$5.00,$1.75,,$5.83,$4.90,$4.38,,$6.60 ,$6.90 ,5.5,6.6,$6.90 ,$6.00 ,$8.58 ,,,,,,,,,,
,Spring Roll,,$3.50 ,$4.00,$1.02,,$3.40,$2.86,$2.55,,$3.90 ,$4.10 ,4.2,3.85,$4.03 ,$4.60 ,$5.07 ,,,,,,,,,,
,Vegie Spring Roll,,$3.50,$3.50,$0.17,,$0.57,$0.48,$0.43,,$3.90 ,$4.10 ,3.85,3.85,$4.03 ,$4.03 ,$5.07 ,,,,,,,,,,
,Chiko Roll,,$4.30 ,$4.00,$1.25,,$4.16,$3.50,$3.13,,$4.80 ,$5.00 ,4.2,4.73,$4.95 ,$4.60 ,$6.24 ,,,,,,,,,,
,Corn Jack,,$4.00 ,$4.00,$1.16,,$3.86,$3.25,$2.90,,$4.40 ,$4.60 ,4.2,4.4,$4.60 ,$4.50 ,$5.72 ,,,,,,,,,,
,Chicken Breast Nugget,,$1.00 ,$1.20,$0.29,,$0.97,$0.81,$0.73,,$1.10 ,$1.20 ,1.3,1.1,$1.15 ,$1.38 ,$1.43 ,,,,,,,,,,
,Dino Nugget,,$1.00 ,$1.10,$0.31,,$1.03,$0.87,$0.78,,$1.10 ,$1.20 ,1.2,1.1,$1.15 ,$1.27 ,$1.43 ,,,,,,,,,,
,Frankfurt In Batter,,$4.00,$4.50,$0.64,,$2.13,$1.79,$1.60,,$4.40 ,$4.60 ,5,4.4,$4.60 ,$5.18 ,$5.72 ,,,,,,,,,,
,Burger In Batter,,$5.00 ,$5.00,$1.55,,$5.16,$4.34,$3.88,,$5.50 ,$5.80 ,5.5,5.5,$5.75 ,$5.75 ,$7.15 ,,,,,,,,,,
,Cheese Kransky In Batter,,$5.50 ,$5.00,$1.66,,$5.53,$4.65,$4.15,,$6.10 ,$6.40 ,5.5,6.05,$6.33 ,$5.75 ,$7.93 ,,,,,,,,,,
,Pickled Onion,,$2.00,$2.00,$1.08,,$2.16,$3.02,$2.70,,$2.20 ,$2.30 ,2.2,2.2,$2.30 ,$2.30 ,$2.86 ,,,,,,,,,,
,Onion Rings,,$0.80,$0.80,$0.24,,$0.80,$0.67,$0.60,,$0.90 ,$1.00 ,0.85,0.88,$0.92 ,$0.92 ,$1.17 ,,,,,,,,,,
,Garlic Chicken Balls,,$2.50 ,$2.00,$0.70,,$2.33,$1.96,$1.75,,$2.80 ,$2.90 ,2.2,2.75,$2.88 ,$2.30 ,$3.64 ,,,,,,,,,,
,Sweet Potato Chip,,$6.00,$6.00,$1.76,,$5.84,$4.91,$4.39,,$6.60 ,$6.90 ,6.6,6.6,$6.90 ,$6.90 ,$8.58 ,,,,,,,,,,
,Sweet Potato Cake,,$2.50,$2.50,,,$0.00,$0.00,$0.00,,$2.80 ,$2.90 ,2.6,2.75,$2.88 ,$2.88 ,$3.64 ,,,,,,,,,,
,Hash Brown,,$1.20 ,$1.90,$0.31,,$1.03,$0.87,$0.78,,$1.40 ,$1.40 ,2.1,1.32,$1.38 ,$2.19 ,$1.82 ,,,,,,,,,,
,,,,,,,,,,,$0.00 ,,,0,,$0.00 ,$0.00 ,,,,,,,,,,
SEAFOOD SIDES,Seafood / Crab Stick,,$1.50,$1.80 ,$0.18 ,,$0.60 ,$0.50,$0.45,,$1.70 ,$1.80 ,2,1.65,$1.73 ,$2.07 ,$2.21 ,,,,,,,,,,
,Fish Bite,,$5.00,$4.50 ,$1.62 ,,$4.85 ,$4.52,$4.04,,$5.50 ,$5.80 ,5.3,5.5,$5.75 ,$5.18 ,$7.15 ,,,,,,,,,,
,Fish Cake,,$3.50,$3.50 ,$1.08 ,,$3.60 ,$3.02,$2.70,,$3.90 ,$4.10 ,3.85,3.85,$4.03 ,$4.03 ,$5.07 ,,,,,,,,,,
,Calamari Ring,,$1.50,$1.50 ,$0.55 ,,$1.65 ,$1.54,$1.38,,$1.70 ,$1.80 ,1.65,1.65,$1.73 ,$1.73 ,$2.21 ,,,,,,,,,,
,Scallop,,$4.50,$3.20 ,$1.80 ,,$5.99 ,$5.04,$4.50,,$5.00 ,$5.20 ,3.6,4.95,$5.18 ,$3.68 ,$6.50 ,,,,,,,,,,
,Mussels in batter,,$1.00,$2.50 ,$0.27 ,,$0.90 ,$0.76,$0.68,,$1.10 ,$1.20 ,1.5,1.1,$1.15 ,$2.88 ,$1.43 ,,,,,,,,,,
,Prawn Cutlet,,$2.50,$2.50 ,$1.00 ,,$3.33 ,$2.80,$2.50,,$2.80 ,$2.90 ,2.75,2.75,$2.88 ,$2.88 ,$3.64 ,,,,,,,,,,
,Prawn In Batter,,$3.00,$3.00 ,$0.75 ,,$2.50 ,$2.10,$1.88,,$3.30 ,$3.50 ,3.3,3.3,$3.45 ,$3.45 ,$4.29 ,,,,,,,,,,
,Salt & Pepper Squid,Serve of 8,$7.50,$7.20 ,$3.86 ,,$7.72 ,$10.81,$9.65,,$8.30 ,$8.70 ,8,8.25,$8.63 ,$12.00 ,$10.79 ,,,,,,,,,,
,,,,,,,,,,,,,,0,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,
SWEETS,Pineapple Fritter,,$3.50,$3.50 ,$0.94 ,,$3.13 ,$2.63,$2.35,,$3.90 ,$4.10 ,4,3.85,$4.03 ,$4.03 ,$5.07 ,,,,,,,,,,
,Banana Fritter,,$3.50,$3.50 ,$0.37 ,,$1.23 ,$1.04,$0.93,,$3.90 ,$4.10 ,4,3.85,$4.03 ,$4.03 ,$5.07 ,,,,,,,,,,
,Mars In Batter,,$3.50,$3.50 ,$1.14 ,,$3.42 ,$3.19,$2.85,,$3.90 ,$4.10 ,3.5,3.85,$4.03 ,$4.03 ,$5.07 ,,,,,,,,,,
,Snickers In Batter,,$3.50,$3.50 ,$1.14 ,,$3.42 ,$3.19,$2.85,,$3.90 ,$4.10 ,3.85,3.85,$4.03 ,$4.03 ,$5.07 ,,,,,,,,,,
,Hot Jam Donut,Single,$1.20,$1.00 ,$0.57 ,,$1.14 ,$1.60,$1.43,,$1.40 ,$1.40 ,1.5,1.32,$1.38 ,$1.15 ,$1.82 ,,,,,,,,,,
,Hot Jam Donuts,Serve of 6,$7.00,$5.00 ,$3.42 ,,$8.55 ,$9.58,$8.55,,$7.70 ,$8.10 ,8,7.7,$8.05 ,$5.75 ,$10.01 ,,,,,,,,,,
