Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
,KIDS CHICKEN BURGER,"Crumbed Chicken Patty, Cheese, Lettuce, & Tomato Sauce",$6.00 ,$6.00 ,$2.30 ,,$6.90 ,$6.44 ,$5.75 ,,$6.60 ,$6.90 ,8.5,6.6,$6.90 ,$8.10 ,$8.58 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,
FISH BURGER,PLAIN FISH BURGER,"Fried Flake, Lettuce, & Tartare Sauce",$12.20 ,$11.00 ,$4.30 ,,$12.90 ,$12.04 ,$10.75 ,,$13.50 ,$14.10 ,$12.20 ,13.42,$14.03 ,$14.03 ,$17.55 ,,,,,,,,,,
,CLASSIC FISH BURGER,"Fried Flake, Cheese, Tomato, Lettuce, & Tartare Sauce",$13.40 ,$11.50 ,$4.30 ,$1.20 ,$14.10 ,$13.24 ,$11.95 ,,$14.80 ,$15.50 ,$13.50 ,14.74,$15.41 ,$15.53 ,$19.24 ,,,,,,,,,,
,THE LOT FISH BURGER,"Fried Flake, Egg, Bacon, Cheese, Tomato, Lettuce, & Tartare Sauce",$15.40 ,,$4.30 ,$3.20 ,$16.10 ,$15.24 ,$13.95 ,,$17.00 ,$17.80 ,$13.50 ,16.94,$17.71 ,$15.53 ,$22.10 ,,,,,,,,,,
,Any Grilled Fish Add $0.50,,$0.50 ,,,,,,,,$0.60 ,$0.60 ,0.6,0.55,$0.58 ,$0.00 ,$0.78 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,
VEGETARIAN BURGER,PLAIN VEGIE BURGER,"Gourmet Vegetable Patty, Lettuce, & Tomato Sauce",$6.90 ,8.5,2.26,,$6.78 ,$6.33 ,$5.65 ,,$7.60 ,$8.00 ,$7.50 ,7.59,$7.94 ,$8.63 ,$9.88 ,,,,,,,,,,
,CLASSIC VEGIE BURGER,"Gourmet Vegetable Patty, Cheese, Tomato, Red Onion, Lettuce, Mayo, & Tomato Relish",$8.60 ,10,2.26,1.7,$8.48 ,$8.03 ,$7.35 ,,$9.50 ,$9.90 ,9.5,9.46,$9.89 ,$10.93 ,$12.35 ,,,,,,,,,,
,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,,,,,,,,
SOUVLAKI,LAMB SOUVLAKI,"Lamb Yiros Meat, Tomato, Red Onion, Lettuce, & Garlic Sauce",$12.80 ,12.5,4.72,0.9,$15.06 ,$14.12 ,$12.70 ,,$14.10 ,$14.80 ,13.95,14.08,$14.72 ,$14.65 ,$18.33 ,,,,,,,,,,
